,year_of_purchase,date_of_purchase,type,og_nr,wc_nr,product,amount_in_kg,price_per_kg,total_payment_usd
7480,2017,2017-07-15,og,2865.0,,Rosella (subdariffa) petals (org),14.92,1.1,16.0
7502,2017,2017-07-15,og,2865.0,,Rosella (subdariffa) seed (org),4.63,0.5,2.0
8201,2018,2018-07-17,og,2865.0,,Rosella (subdariffa) petals (org),55.6,1.1,61.16
8420,2018,2018-09-21,og,2865.0,,Strophanthus (kombe) seed (con),8.0,10.5,84.0
9421,2020,2020-07-23,og,2865.0,,Rosella (subdariffa) petals (org),69.1,1.1,76.01
9698,2021,2021-07-13,og,2865.0,,Rosella (subdariffa) petals (org),123.0,1.1,135.0
9603,2021,2021-08-07,og,2865.0,,Rosella (subdariffa) petals (org),46.0,1.1,49.0
10115,2022,2022-08-07,og,2865.0,,Rosella (subdariffa) petals (org),230.0,1.1,253.0
10558,2022,2022-08-23,og,2865.0,,Rosella (subdariffa) petals (org),150.0,1.1,165.0
6699,2016,2016-07-21,og,2866.0,,Rosella (subdariffa) petals (org),117.7,1.1,130.0
7198,2017,2017-06-20,og,2866.0,,Rosella (subdariffa) petals (org),56.62,1.1,62.28
7446,2017,2017-07-15,og,2866.0,,Rosella (subdariffa) petals (org),14.38,1.1,16.0
7478,2017,2017-07-15,og,2866.0,,Rosella (subdariffa) petals (org),55.75,1.1,61.0
7503,2017,2017-07-15,og,2866.0,,Rosella (subdariffa) seed (org),11.33,0.5,6.0
7700,2017,2017-09-08,og,2866.0,,Rosella (subdariffa) petals (org),17.7,1.1,19.0
8202,2018,2018-07-17,og,2866.0,,Rosella (subdariffa) petals (org),40.5,1.1,44.55
